pal|freq
climb|4
masts|24
first|211
discoverer|2
ducat|1
told|46
Shetland|2
barrel|1
herrings|1
belly|9
harpooneers|53
caught|44
white|158
—A|3
Voyage|9
Greenland|36
1671|2
Several|1
coast|34
Fife|2
Anno|1
1652|1
eighty|3
whalebone|12
kind|26
informed|4
afford|9
500|2
weight|17
baleen|11
stand|71
gate|4
garden|5
Pitferren|1
—Sibbald|1
Kinross|1
Myself|1
agreed|4
try|28
master|20
kill|23
Spermaceti|4
never|193
hear|61
sort|152
fierceness|1
swiftness|6
—Richard|1
Strafford|1
Letter|3
Bermudas|1
Phil|1
Trans|1
1668|1
voice|45
obey|8
—N|1
Primer|1
abundance|4
large|78
southern|5
hundred|50
northward|4
—Captain|1
Cowley|1
round|238
Globe|5
1729|1
attended|6
insupportable|1
smell|11
bring|17
disorder|1
—Ulloa|1
South|19
America|12
chosen|3
sylphs|1
special|15
note|5
trust|4
important|20
charge|16
petticoat|1
Oft|1
sevenfold|1
fence|2
fail|17
Tho|1
stuffed|5
hoops|11
armed|10
ribs|18
—Rape|1
Lock|1
If|74
compare|7
animals|5
respect|16
magnitude|21
abode|2
appear|7
contemptible|4
comparison|6
doubtless|12
largest|19
creation|8
—Goldsmith|2
Nat|2
Hist|4
write|5
little|247
make|112
speak|45
wales|1
Johnson|4
afternoon|10
supposed|15
rock|13
found|118
dead|90
Asiatics|2
towing|14
ashore|33
seemed|281
endeavor|4
conceal|2
order|64
avoid|6
—Cook|1
larger|9
seldom|24
venture|5
attack|9
dread|12
afraid|15
mention|15
names|11
carry|26
dung|1
limestone|2
juniperwood|1
articles|10
boats|141
terrify|3
prevent|7
approach|6
—Uno|1
Von|2
Troil|1
Letters|1
Banks|5
Solander|2
Iceland|2
1772|1
Spermacetti|2
Nantuckois|1
active|10
fierce|10
requires|7
address|5
boldness|2
fishermen|28
Jefferson|1
Memorial|1
minister|1
1778|2
pray|6
sir|136
equal|14
—Edmund|2
Burke|3
reference|12
Parliament|3
WhaleFishery|1
Spain—a|1
stranded|10
shores|7
Europe|5
somewhere|21
tenth|4
branch|4
ordinary|19
revenue|2
grounded|3
consideration|8
guarding|1
protecting|1
pirates|9
robbers|1
right|91
royal|25
sturgeon|3
either|36
thrown|24
property|9
—Blackstone|1
Soon|17
sport|3
death|60
crews|17
repair|3
Rodmond|1
unerring|3
er|7
suspends|1
barbed|6
steel|29
turn|54
attends|1
—Falconer|1
Shipwreck|2
Bright|1
shone|3
roofs|1
domes|1
spires|6
rockets|1
blew|8
self|8
driven|10
hang|5
momentary|2
fire|63
Around|1
vault|3
heaven|36
serves|2
high|92
Upspouted|1
air|137
express|8
unwieldy|1
joy|14
—Cowper|1
Visit|1
London|14
fifteen|11
gallons|5
blood|51
stroke|16
immense|15
velocity|10
—John|1
Hunter|4
account|33
dissection|1
small|123
sized|6
aorta|1
bore|17
main|15
pipe|34
waterworks|1
Bridge|2
roaring|9
passage|32
inferior|10
impetus|2
gushing|1
—Paley|1
Theology|1
mammiferous|1
hind|1
—Baron|1
Cuvier|11
degrees|5
south|3
May|8
covered|9
—Colnett|1
Purpose|1
Extending|2
Fishery|10
free|33
element|11
beneath|74
swam|20
Floundered|1
dived|11
chace|1
battle|22
Fishes|2
colour|14
form|48
language|5
paint|5
mariner|16
Had|12
insect|3
millions|7
peopling|1
wave|10
Gather|1
shoals|6
islands|11
Led|1
mysterious|11
instincts|1
waste|3
trackless|1
region|5
though|317
Assaulted|1
voracious|1
enemies|2
sharks|48
arm|80
front|25
jaw|53
With|59
swords|2
saws|2
spiral|1
horns|7
hooked|5
fangs|3
—Montgomery|1
World|3
Flood|1
Io|2
Paean|1
sing|16
finny|2
people|45
Not|47
mightier|2
Atlantic|18
fatter|1
Flounders|1
Polar|11
—Charles|1
Lamb|1
Triumph|1
year|25
1690|1
persons|6
hill|12
observing|8
spouting|12
observed|18
there—pointing|1
sea—is|1
green|45
pasture|4
children|16
grandchildren|1
bread|13
—Obed|1
Macy|2
built|6
cottage|3
Susan|1
gateway|2
Gothic|4
Arch|2
setting|11
—Hawthorne|1
Twice|3
Told|1
Tales|1
She|15
bespeak|1
monument|2
love|24
less|51
forty|20
ago|33
No|100
Sir|29
‘|240
tis|20
answered|21
Tom|3
sprout|2
threw|10
pair|12
pretty|28
rainbows|3
Christian|18
wish|14
look|132
raal|1
oilbutt|2
fellow|46
—Cooper|1
Pilot|3
papers|10
Berlin|1
Gazette|1
introduced|6
stage|8
—Eckermann|1
Conversations|1
Goethe|2
My|23
Mr|58
Chace|4
matter|84
stove|22
Narrative|2
Essex|3
attacked|4
finally|24
destroyed|10
Ocean|10
Owen|6
mate|71
New|48
York|6
1821|1
sat|45
shrouds|8
night|130
piping|1
bright|24
dimmed|1
moonlight|8
phospher|1
gleamed|5
wake|40
floundered|2
—Elizabeth|1
Oakes|1
Smith|1
line|105
withdrawn|5
engaged|18
capture|14
amounted|1
10440|1
nearly|34
miles|30
Sometimes|6
shakes|5
tremendous|9
cracking|4
whip|7
resounds|2
distance|39
three|229
—Scoresby|1
Mad|1
agonies|1
endures|1
fresh|29
attacks|3
infuriated|1
rolls|14
rears|1
enormous|26
wide|45
expanded|5
snaps|1
everything|20
around|37
rushes|2
propelled|1
utterly|13
astonishment|6
habits|4
interesting|8
commercial|3
point|66
entirely|29
neglected|2
excited|8
curiosity|10
numerous|17
competent|5
observers|1
late|29
possessed|7
abundant|3
convenient|11
opportunities|2
witnessing|2
habitudes|1
Beale|7
1839|3
Cachalot|3
better|60
possessing|3
formidable|2
weapon|8
extremity|9
displays|2
disposition|3
employ|2
weapons|8
offensively|1
manner|37
artful|1
bold|17
mischievous|1
lead|13
regarded|23
dangerous|13
species|31
—Frederick|1
Debell|1
Bennett|4
Round|4
1840|1
blows|22
masthead|33
Where|25
demanded|11
captain|107
Three|8
points|14
lee|17
bow|38
Raise|1
wheel|5
Steady|4
Masthead|2
ahoy|7
Do|35
Ay|3
ay|1
shoal|8
breaches|5
Sing|5
time|314
there—there—thar|1
blows—bowes—booos|1
How|63
far|155
Two|6
half|89
Thunder|7
lightning|18
Call|3
hands|118
